"Country","BestRec"
"Afghanistan","Cash"
"Angola","SP_covid"
"Albania","SP_covid"
"United Arab Emirates","Cash"
"Argentina","SP_covid"
"Armenia","SP_covid"
"Australia","SP_covid"
"Austria","Cash"
"Azerbaijan","Cash"
"Burundi","Cash"
"Belgium","SP_current"
"Benin","SP_covid"
"Burkina Faso","SP_current"
"Bangladesh","SP_covid"
"Bulgaria","SP_covid"
"Bosnia and Herzegovina","SP_covid"
"Belarus","Cash"
"Belize","SP_covid"
"Bolivia","SP_current"
"Brazil","SP_covid"
"Bhutan","SP_covid"
"Botswana","SP_covid"
"Central African Republic","Cash"
"Canada","SP_current"
"Switzerland","SP_covid"
"Chile","SP_current"
"China","SP_covid"
"Cote d'Ivoire","SP_current"
"Cameroon","Cash"
"Congo, Dem. Rep.","Cash"
"Congo, Rep.","Cash"
"Colombia","SP_covid"
"Comoros","SP_covid"
"Cabo Verde","SP_covid"
"Costa Rica","SP_current"
"Cyprus","Cash"
"Czech Republic","Cash"
"Germany","Cash"
"Djibouti","SP_covid"
"Denmark","SP_covid"
"Dominican Republic","SP_covid"
"Algeria","SP_covid"
"Ecuador","SP_covid"
"Egypt, Arab Rep.","SP_covid"
"Eritrea","SP_covid"
"Spain","Cash"
"Estonia","SP_covid"
"Ethiopia","SP_covid"
"Finland","SP_current"
"Fiji","SP_covid"
"France","Cash"
"Micronesia, Fed. Sts.","SP_covid"
"Gabon","SP_covid"
"United Kingdom","Cash"
"Georgia","Cash"
"Ghana","SP_current"
"Guinea","SP_covid"
"Gambia, The","Cash"
"Guinea-Bissau","SP_covid"
"Greece","Cash"
"Guatemala","SP_covid"
"Guyana","Cash"
"Honduras","SP_covid"
"Croatia","SP_current"
"Haiti","SP_current"
"Hungary","SP_covid"
"Indonesia","SP_covid"
"India","SP_current"
"Ireland","Cash"
"Iran, Islamic Rep.","SP_covid"
"Iraq","SP_covid"
"Iceland","Cash"
"Israel","SP_covid"
"Italy","Cash"
"Jamaica","SP_covid"
"Jordan","Cash"
"Japan","Cash"
"Kazakhstan","Cash"
"Kenya","SP_covid"
"Kyrgyz Republic","SP_covid"
"Cambodia","SP_covid"
"Kiribati","SP_covid"
"Korea, Rep.","SP_covid"
"Lao PDR","SP_covid"
"Lebanon","Cash"
"Liberia","SP_covid"
"St. Lucia","SP_covid"
"Sri Lanka","SP_covid"
"Lesotho","SP_current"
"Lithuania","SP_covid"
"Luxembourg","Cash"
"Latvia","SP_current"
"Morocco","SP_covid"
"Moldova","Cash"
"Madagascar","SP_covid"
"Maldives","Cash"
"Mexico","SP_covid"
"Marshall Islands","SP_covid"
"North Macedonia","SP_covid"
"Mali","SP_covid"
"Malta","Cash"
"Myanmar","SP_covid"
"Montenegro","SP_covid"
"Mongolia","SP_covid"
"Mozambique","SP_covid"
"Mauritania","SP_covid"
"Mauritius","SP_current"
"Malawi","SP_covid"
"Malaysia","Cash"
"Namibia","SP_covid"
"Niger","SP_covid"
"Nigeria","SP_current"
"Nicaragua","SP_covid"
"Netherlands","Cash"
"Norway","Cash"
"Nepal","SP_covid"
"Nauru","SP_covid"
"Pakistan","SP_covid"
"Panama","SP_current"
"Peru","SP_current"
"Philippines","SP_covid"
"Papua New Guinea","SP_covid"
"Poland","SP_covid"
"Portugal","Cash"
"Paraguay","SP_current"
"Romania","SP_current"
"Russian Federation","Cash"
"Rwanda","SP_covid"
"Sudan","SP_covid"
"Senegal","SP_covid"
"Solomon Islands","SP_covid"
"Sierra Leone","SP_covid"
"El Salvador","SP_current"
"Somalia","Cash"
"Serbia","SP_covid"
"South Sudan","SP_current"
"Sao Tome and Principe","SP_covid"
"Suriname","Cash"
"Slovak Republic","SP_covid"
"Slovenia","Cash"
"Sweden","Cash"
"Eswatini","Cash"
"Seychelles","Cash"
"Syrian Arab Republic","Cash"
"Chad","SP_covid"
"Togo","SP_covid"
"Thailand","Cash"
"Tajikistan","SP_covid"
"Turkmenistan","SP_covid"
"Timor-Leste","SP_covid"
"Tonga","SP_covid"
"Tunisia","SP_covid"
"Turkiye","SP_covid"
"Tuvalu","Cash"
"Tanzania","SP_covid"
"Uganda","SP_covid"
"Ukraine","Cash"
"Uruguay","SP_covid"
"United States","SP_covid"
"Uzbekistan","Cash"
"Venezuela, RB","SP_covid"
"Vietnam","SP_covid"
"Vanuatu","SP_covid"
"Samoa","SP_covid"
"Yemen, Rep.","SP_covid"
"South Africa","Cash"
"Zambia","SP_covid"
"Zimbabwe","SP_current"
