"","Tax","TaxLevel","SP","value","Vari"
"1","Universal_P",0,"Null",30706.615004915,"CO2_Effect"
"2","Universal_P",15,"Null",29336.3803080071,"CO2_Effect"
"3","Universal_P",30,"Null",28261.1775187771,"CO2_Effect"
"4","Universal_P",45,"Null",27354.3972465132,"CO2_Effect"
"5","Universal_P",60,"Null",26563.3990034067,"CO2_Effect"
"6","Universal_P",75,"Null",25858.8738771373,"CO2_Effect"
"7","Universal_P",90,"Null",25222.1282614708,"CO2_Effect"
"8","Universal_P",105,"Null",24640.2682411299,"CO2_Effect"
"9","Universal_P",120,"Null",24103.9309961571,"CO2_Effect"
"10","Universal_P",135,"Null",23606.0623354079,"CO2_Effect"
"11","Universal_P",150,"Null",23141.1957766863,"CO2_Effect"
"12","Universal_P",165,"Null",22704.9991002579,"CO2_Effect"
"13","Universal_P",180,"Null",22293.9750007863,"CO2_Effect"
"14","Universal_P",0,"Universal",30706.615004915,"CO2_Effect"
"15","Universal_P",15,"Universal",29606.1433942703,"CO2_Effect"
"16","Universal_P",30,"Universal",28771.5770814502,"CO2_Effect"
"17","Universal_P",45,"Universal",28085.3616704224,"CO2_Effect"
"18","Universal_P",60,"Universal",27499.5828200545,"CO2_Effect"
"19","Universal_P",75,"Universal",26987.9530958817,"CO2_Effect"
"20","Universal_P",90,"Universal",26533.8913189033,"CO2_Effect"
"21","Universal_P",105,"Universal",26126.0596557402,"CO2_Effect"
"22","Universal_P",120,"Universal",25756.2832588955,"CO2_Effect"
"23","Universal_P",135,"Universal",25418.4395754301,"CO2_Effect"
"24","Universal_P",150,"Universal",25107.8085437272,"CO2_Effect"
"25","Universal_P",165,"Universal",24820.6666579543,"CO2_Effect"
"26","Universal_P",180,"Universal",24554.0205524938,"CO2_Effect"
"27","Universal_P",0,"Cash",30706.615004915,"CO2_Effect"
"28","Universal_P",15,"Cash",29612.6830583706,"CO2_Effect"
"29","Universal_P",30,"Cash",28783.2600588954,"CO2_Effect"
"30","Universal_P",45,"Cash",28101.1851252612,"CO2_Effect"
"31","Universal_P",60,"Cash",27518.7899630937,"CO2_Effect"
"32","Universal_P",75,"Cash",27009.9532665085,"CO2_Effect"
"33","Universal_P",90,"Cash",26558.2125961328,"CO2_Effect"
"34","Universal_P",105,"Cash",26152.3183550922,"CO2_Effect"
"35","Universal_P",120,"Cash",25784.1631437091,"CO2_Effect"
"36","Universal_P",135,"Cash",25447.6770955011,"CO2_Effect"
"37","Universal_P",150,"Cash",25138.1820244883,"CO2_Effect"
"38","Universal_P",165,"Cash",24851.9881878902,"CO2_Effect"
"39","Universal_P",180,"Cash",24586.1297735696,"CO2_Effect"
"40","Universal_P",0,"SP_current",30706.615004915,"CO2_Effect"
"41","Universal_P",15,"SP_current",29611.382593384,"CO2_Effect"
"42","Universal_P",30,"SP_current",28780.9585835666,"CO2_Effect"
"43","Universal_P",45,"SP_current",28098.1052817151,"CO2_Effect"
"44","Universal_P",60,"SP_current",27515.1028853419,"CO2_Effect"
"45","Universal_P",75,"SP_current",27005.7946456237,"CO2_Effect"
"46","Universal_P",90,"SP_current",26553.6923535823,"CO2_Effect"
"47","Universal_P",105,"SP_current",26147.5269058712,"CO2_Effect"
"48","Universal_P",120,"SP_current",25779.1757061375,"CO2_Effect"
"49","Universal_P",135,"SP_current",25442.5567937051,"CO2_Effect"
"50","Universal_P",150,"SP_current",25132.982197984,"CO2_Effect"
"51","Universal_P",165,"SP_current",24846.7541555639,"CO2_Effect"
"52","Universal_P",180,"SP_current",24580.900208427,"CO2_Effect"
"53","Universal_P",0,"SP_covid",30706.615004915,"CO2_Effect"
"54","Universal_P",15,"SP_covid",29610.4997994919,"CO2_Effect"
"55","Universal_P",30,"SP_covid",28779.4647272025,"CO2_Effect"
"56","Universal_P",45,"SP_covid",28096.191863266,"CO2_Effect"
"57","Universal_P",60,"SP_covid",27512.9107942719,"CO2_Effect"
"58","Universal_P",75,"SP_covid",27003.4315012719,"CO2_Effect"
"59","Universal_P",90,"SP_covid",26551.242464681,"CO2_Effect"
"60","Universal_P",105,"SP_covid",26145.0574737491,"CO2_Effect"
